iter	Logloss
0	0.6767793644
1	0.662002417
2	0.6489678423
3	0.6370028735
4	0.6250291138
5	0.6139016824
6	0.603939712
7	0.5951378595
8	0.5864247041
9	0.5791457939
10	0.5721649707
11	0.5656969908
12	0.5604485838
13	0.5545629376
14	0.5492427575
15	0.544892453
16	0.5407360586
17	0.5362288653
18	0.532663483
19	0.5285426024
20	0.5245337093
21	0.521777207
22	0.5186446749
23	0.5166099023
24	0.5140914685
25	0.5110695721
26	0.5082800925
27	0.5057959665
28	0.5034376397
29	0.5010862609
30	0.4990427134
31	0.4965562981
32	0.4945488202
33	0.4929934634
34	0.4908211465
35	0.4888346241
36	0.487181613
37	0.4856409218
38	0.4841416869
39	0.4828399476
40	0.4810752933
41	0.4799797324
42	0.4785576966
43	0.4770902951
44	0.476164486
45	0.4751392871
46	0.474240276
47	0.4734103944
48	0.4726321553
49	0.4719668048
50	0.4714579702
51	0.470781083
52	0.4698938102
53	0.4692012972
54	0.4680212553
55	0.4671958156
56	0.4668109166
57	0.4660567351
58	0.4654041842
59	0.4646466355
60	0.4642042236
61	0.4635244544
62	0.4628928529
63	0.4624211844
64	0.4618710057
65	0.4613717048
66	0.4609762022
67	0.4605680611
68	0.4601020152
69	0.4597639388
70	0.4593543258
71	0.4588578762
72	0.4582389583
73	0.4575097797
74	0.4567649009
75	0.4563107203
76	0.4558697685
77	0.4554792281
78	0.4552388538
79	0.4549811336
80	0.4547127514
81	0.4539179626
82	0.4537321263
83	0.4532917148
84	0.4529426497
85	0.4525168732
86	0.4521525085
87	0.4517296802
88	0.4516278155
89	0.4511474461
90	0.4507005932
91	0.4503429337
92	0.4495027022
93	0.4493104185
94	0.4490141057
95	0.448819228
96	0.4485140331
97	0.4480624881
98	0.4476916877
99	0.4473073979
